"Name","Color","Rarity","# GIH","GIH WR"
"Adaptive Sporesinger","G","C","27265","50.5%"
"Against All Odds","W","U","11974","52.9%"
"All Will Be One","R","M","2579","50.1%"
"Ambulatory Edifice","B","U","24992","56.4%"
"Annex Sentry","W","U","33898","62.6%"
"Annihilating Glare","B","C","46534","52.9%"
"Anoint with Affliction","B","C","72279","57.4%"
"Apostle of Invasion","W","U","8568","52.2%"
"Archfiend of the Dross","B","R","9323","63.0%"
"Argentum Masticore","","R","11502","54.9%"
"Armored Scrapgorger","G","U","34970","58.5%"
"Aspirant's Ascent","U","C","8569","48.6%"
"Atmosphere Surgeon","U","U","15524","49.8%"
"Atraxa's Skitterfang","","U","39188","57.0%"
"Atraxa, Grand Unifier","WUBG","M","2036","61.3%"
"Awaken the Sleeper","R","U","2798","51.8%"
"Axiom Engraver","R","C","106067","57.1%"
"Barbed Batterfist","R","C","117418","58.1%"
"Basilica Shepherd","W","C","69702","58.2%"
"Basilica Skullbomb","","C","35133","51.5%"
"Bilious Skulldweller","B","U","24287","57.4%"
"Black Sun's Twilight","B","R","8492","55.4%"
"Blackcleave Cliffs","","R","2531","50.5%"
"Blade of Shared Souls","U","R","6418","51.8%"
"Bladed Ambassador","W","U","32200","58.0%"
"Bladegraft Aspirant","R","C","51007","55.1%"
"Bladehold War-Whip","WR","U","32888","62.5%"
"Blazing Crescendo","R","C","67580","56.7%"
"Blightbelly Rat","B","C","61796","54.4%"
"Bloated Contaminator","G","R","10250","59.5%"
"Blue Sun's Twilight","U","R","10461","61.3%"
"Bonepicker Skirge","B","C","34212","51.8%"
"Branchblight Stalker","G","C","56246","53.1%"
"Bring the Ending","U","C","27495","52.7%"
"Cacophony Scamp","R","U","24981","56.6%"
"Cankerbloom","G","U","33807","58.9%"
"Capricious Hellraiser","R","M","3595","55.5%"
"Carnivorous Canopy","G","C","15692","50.8%"
"Cephalopod Sentry","WU","U","21499","57.4%"
"Charforger","BR","U","13542","56.3%"
"Charge of the Mites","W","C","60082","54.6%"
"Chimney Rabble","R","C","101257","59.5%"
"Chittering Skitterling","B","U","16817","50.9%"
"Chrome Prowler","U","C","44720","54.7%"
"Churning Reservoir","R","U","24611","52.5%"
"Cinderslash Ravager","RG","U","37298","62.2%"
"Compleat Devotion","W","C","57667","55.8%"
"Conduit of Worlds","G","R","3907","48.9%"
"Contagious Vorrac","G","C","101913","59.5%"
"Copper Longlegs","G","C","25697","50.2%"
"Copperline Gorge","","R","5608","54.1%"
"Crawling Chorus","W","C","79078","57.8%"
"Cruel Grimnarch","B","C","10747","53.7%"
"Cutthroat Centurion","B","C","9442","50.2%"
"Darkslick Shores","","R","2793","51.0%"
"Distorted Curiosity","U","U","12417","52.1%"
"Dragonwing Glider","R","R","12812","61.9%"
"Drivnod, Carnage Dominus","B","M","2718","49.3%"
"Dross Skullbomb","","C","25009","49.8%"
"Drown in Ichor","B","U","25783","58.2%"
"Duelist of Deep Faith","W","C","79450","55.2%"
"Dune Mover","","C","75709","52.8%"
"Duress","B","C","1070","43.5%"
"Elesh Norn, Mother of Machines","W","M","5055","62.1%"
"Encroaching Mycosynth","U","R","219","37.0%"
"Escaped Experiment","U","C","28204","51.0%"
"Evolved Spinoderm","G","R","10527","59.8%"
"Evolving Adaptive","G","U","36672","59.8%"
"Expand the Sphere","G","U","2222","44.1%"
"Experimental Augury","U","C","50124","53.8%"
"Exuberant Fuseling","R","U","32928","56.8%"
"Eye of Malcator","U","C","41078","53.3%"
"Ezuri, Stalker of Spheres","UG","R","3930","51.0%"
"Feed the Infection","B","U","5679","50.8%"
"Flensing Raptor","W","C","70118","57.0%"
"Fleshless Gladiator","B","C","23914","50.5%"
"Font of Progress","U","U","1733","40.0%"
"Forgehammer Centurion","R","C","28783","52.8%"
"Free from Flesh","R","C","64754","55.6%"
"Furnace Punisher","R","U","36031","57.6%"
"Furnace Skullbomb","","C","29058","50.5%"
"Furnace Strider","R","C","89554","57.4%"
"Geth, Thane of Contracts","B","R","1187","41.9%"
"Gitaxian Anatomist","U","C","9350","47.4%"
"Gitaxian Raptor","U","C","50542","54.9%"
"Gleeful Demolition","R","U","4408","52.7%"
"Glissa Sunslayer","BG","R","8584","58.8%"
"Glistener Seer","U","C","28320","51.0%"
"Goldwarden's Helm","W","C","36642","52.6%"
"Graaz, Unstoppable Juggernaut","","R","1793","46.8%"
"Green Sun's Twilight","G","R","4496","49.6%"
"Gulping Scraptrap","B","C","29412","51.8%"
"Hazardous Blast","R","C","52283","56.7%"
"Hexgold Halberd","R","U","42121","57.8%"
"Hexgold Hoverwings","W","U","33053","59.1%"
"Hexgold Slash","R","C","117941","58.5%"
"Ichor Synthesizer","U","C","47397","51.4%"
"Ichormoon Gauntlet","U","M","162",""
"Ichorplate Golem","","U","27717","54.1%"
"Ichorspit Basilisk","G","C","36377","50.6%"
"Incisor Glider","W","C","71431","55.4%"
"Incubation Sac","G","U","34180","57.0%"
"Indoctrination Attendant","W","C","69437","57.6%"
"Infectious Bite","G","U","28685","56.7%"
"Infectious Inquiry","B","C","29372","51.4%"
"Infested Fleshcutter","W","U","13365","51.4%"
"Jace, the Perfected Mind","U","M","4400","59.5%"
"Jawbone Duelist","W","U","28388","55.9%"
"Jin-Gitaxias, Progress Tyrant","U","M","1867","53.8%"
"Jor Kadeen, First Goldwarden","WR","R","7317","57.5%"
"Kaito, Dancing Shadow","UB","R","8214","58.8%"
"Karumonix, the Rat King","B","R","4870","51.3%"
"Kaya, Intangible Slayer","WB","R","6019","56.9%"
"Kemba, Kha Enduring","W","R","9228","57.7%"
"Kethek, Crucible Goliath","BR","R","1735","52.3%"
"Koth, Fire of Resistance","R","R","10975","60.4%"
